0,Hoboken,NJ,USA,40.745255,-74.034775
1,Port Hueneme,CA,USA,34.155834,-119.202789
2,Auburn,NY,USA,42.933334,-76.566666
3,Jamestown,NY,USA,42.095554,-79.238609
4,Fulton,MO,USA,38.846668,-91.948059
5,Bedford,OH,USA,41.392502,-81.534447
6,Stuart,FL,USA,27.192223,-80.243057
7,San Angelo,TX,USA,31.442778,-100.450279
8,Woodbridge,NJ,USA,40.560001,-74.290001
9,Vista,CA,USA,33.193611,-117.241112
10,South Bend,IN,USA,41.676388,-86.250275
11,Davenport,IA,USA,41.543056,-90.590836
12,Sparks,NV,USA,39.554443,-119.735558
13,Green Bay,WI,USA,44.513332,-88.015831
14,San Mateo,CA,USA,37.554169,-122.313057
15,Tyler,TX,USA,32.349998,-95.300003
16,League City,TX,USA,29.499722,-95.089722
17,Lewisville,TX,USA,33.038334,-97.006111
18,Meridian,ID,USA,43.614166,-116.398888
19,Waterbury,CT,USA,41.556110,-73.041389
20,Jurupa Valley,CA,USA,34.000000,-117.483330
21,West Palm Beach,FL,USA,26.709723,-80.064163
22,Antioch,CA,USA,38.005001,-121.805832
23,High Point,NC,USA,35.970554,-79.997498
24,Miami Gardens,FL,USA,25.942122,-80.269920
25,Murrieta,CA,USA,33.569443,-117.202499
26,Springfield,IL,USA,39.799999,-89.650002
27,El Monte,CA,USA,34.073334,-118.027496
28,West Jordan,UT,USA,40.606388,-111.976112
29,College Station,TX,USA,30.601389,-96.314445
30,Fairfield,CA,USA,38.257778,-122.054169
31,Evansville,IN,USA,37.977222,-87.550552
32,Cambridge,MA,USA,42.373611,-71.110558
33,Richardson,TX,USA,32.965557,-96.715836
34,Berkeley,CA,USA,37.871666,-122.272781
35,Columbia,MS,USA,38.951561,-92.328636
36,Athens,GA,USA,33.950001,-83.383331
37,Lafayette,LA,USA,30.216667,-92.033333
38,Sterling Heights,MI,USA,42.580276,-83.030281
39,Visalia,CA,USA,36.316666,-119.300003
40,Hampton,VA,USA,37.034946,-76.360123
41,West Valley City,UT,USA,40.689167,-111.993889
42,Surprise,AZ,USA,33.630554,-112.366669
43,Thornton,CO,USA,39.903057,-104.954445
44,Miramar,FL,USA,25.978889,-80.282501
45,Murfreesboro,TN,USA,35.846111,-86.391945
46,Pasadena,CA,USA,34.156113,-118.131943
47,Bridgeport,CT,USA,41.186390,-73.195557
48,Paterson,NJ,USA,40.914745,-74.162827
49,Rockford,Il,USA,42.259445,-89.064445
50,Joliet,IL,USA,41.520557,-88.150558
51,Escondido,CA,USA,33.124722,-117.080833
52,Kansas City,KS,USA,39.106667,-94.676392
53,Springfield,MA,USA,42.101391,-72.590279
54,Springfield,MO,USA,37.210388,-93.297256
55,Corona,CA,USA,33.866669,-117.566666
56,Pembroke Pines,FL,USA,26.012501,-80.313614
57,Elk Grove,CA,USA,38.438332,-121.381943
58,Oceanside,CA,USA,33.211666,-117.325836
59,Newport News,VA,USA,37.070831,-76.484444
60,Sioux Falls,SD,USA,43.536388,-96.731667
61,Vancouver,WA,USA,45.633331,-122.599998
62,Worcester,MA,USA,42.271389,-71.798889
63,Tallahassee,FL,USA,30.455000,-84.253334
64,Columbus,GA,USA,32.492222,-84.940277
