1,1,Perfect Touch Shelters,Glendale,veGpkg@gmail.com
2,2,Safe Heaven,Rochester,itCBcNdP@gmail.com
3,3,Tails of the Beast,Santa Ana,dgLMQGYOZk@gmail.com
4,4,Wagging Tails,New Orleans,JcnDhAPgeu@gmail.com
5,5,The Cat Network,Arlington,QcATXKEn@gmail.com
6,6,Pet Paradise,Livonia,BIEfBX@gmail.com
7,7,Pick of the Litter,Abilene,DCPxtC@gmail.com
8,8,Kitten Associates,Winston-Salem,nNIRc@gmail.com
9,9,North Shore Shelters,Waterbury,fdwEVRhFoK@gmail.com
10,10,Paws for Applause,Waterbury,aNaUxDAkN@gmail.com
11,11,Special Pals,Midland,cdIbbYaoRX@gmail.com
12,12,The Fresh Paws,Dayton,srzeFP@gmail.com
13,13,Puppy Love,Cincinnati,idAlaSaJ@gmail.com
14,14,Pet Paradise,Cambridge,vjKRBIMJ@gmail.com
15,15,Pawsitive Attitude,Erie,jOkQV@gmail.com
16,16,Urban Tails,Montgomery,UkZQzu@gmail.com
17,17,Special Pals,Phoenix,kleCyrO@gmail.com
18,18,Golden Gate,Fall River,VhevnGwA@gmail.com
19,19,Patriot PAWS,El Paso,HyjnbsvDy@gmail.com
20,20,Safe Heaven,Norman,UZsMlaick@gmail.com
21,21,Pampered Paws,Aurora,CLYROA@gmail.com
22,22,Red Rover,Mobile,KyghlbCBW@gmail.com
23,23,Fur University,Irvine,ZUsVJFyo@gmail.com
24,24,Urban Tails,Pueblo,QvZPpZYA@gmail.com
25,25,Pure Mutts,Worcester,dxsUrpPL@gmail.com
26,26,Scruffy Fluffies,Grand Rapids,DqoRDMHbR@gmail.com
27,27,The Barkery,Los Angeles,QbwDaBbJt@gmail.com
28,28,National Cat Protection Society,Peoria,NCBQt@gmail.com
29,29,Lost Dog & Cat Rescue,Fremont,ZzaBgAje@gmail.com
30,30,The Pack – Pets,Baltimore,gPPzX@gmail.com
31,31,Pampered Paws,San Buenaventura,AJldTtO@gmail.com
32,32,Patriot PAWS,Washington,leuNOqvtNZ@gmail.com
33,33,Heavy Petting,Philadelphia,nQsMLCGs@gmail.com
34,34,Tails of the Beast,Tulsa,VZbIZ@gmail.com
35,35,Wild Wagging,Arvada,vgJMcg@gmail.com
36,36,The Best Flock,West Valley City,xSyzjELU@gmail.com
37,37,Of the Chain,Cape Coral,QjHCJTH@gmail.com
38,38,The Pack – Pets,Gilbert,EjaQMRe@gmail.com
39,39,Pretty Paws,Berkeley,HfpVuD@gmail.com
40,40,Patriot PAWS,Chandler,QlfUcWI@gmail.com
41,41,Scruffy Fluffies,Palmdale,TxhXpmHprc@gmail.com
42,42,Posh Paws,Springfield,cKDwz@gmail.com
43,43,Posh Paws,Irvine,dNkalyaFi@gmail.com
44,44,Of the Chain,Laredo,OgXuMA@gmail.com
45,45,New Beginnings,Salem,OBHepXSL@gmail.com
46,46,Helping Out Pets,Athens-Clarke County,LnAWOH@gmail.com
47,47,Patriot PAWS,Amarillo,RgveCMFg@gmail.com
48,48,Raise the Woof,Cary,MYINJFcQOa@gmail.com
49,49,Pooch Parlor,Toledo,VZPTGw@gmail.com
50,50,Fur University,Green Bay,OYcLLafvG@gmail.com
51,51,Pick of the Litter,Brockton,FyDQUAyJAd@gmail.com
