1,1,0,Unknown,11,Breeder,0
2,1,4,Unknown,14,Breeder,0
3,1,12,Himalayan,14,Breeder,0
4,0,11,Tibetan Mastiff,22,Rescue,0
5,0,0,Mutt,6,Rescue,0
6,0,18,Irish Wolfhound,18,Rescue,0
7,0,12,Mastiff,10,Rescue,0
8,0,2,Mutt,9,Rescue,0
9,1,18,Unknown,7,Shelter,0
10,1,5,Unknown,7,Breeder,0
11,1,0,Russian Blue,6,Rescue,0
12,0,6,Kerry Blue Terrier,25,Breeder,0
13,1,5,Maine Coon,7,Breeder,0
14,0,16,Belgian Shepherd Dog Groenendael,16,Breeder,0
15,0,3,Schnauzer Miniature,13,Breeder,0
16,1,6,Abyssinian,14,Shelter,0
17,1,20,Turkish Van,6,Rescue,0
18,0,1,Schnauzer Miniature,12,Rescue,0
19,0,10,Mutt,18,Shelter,0
20,1,1,Unknown,6,Rescue,0
21,1,7,Cornish Rex,6,Rescue,0
22,0,6,Schnauzer Miniature,13,Shelter,0
23,0,8,Portuguese Water Dog,21,Shelter,0
24,1,9,Unknown,6,Breeder,0
25,1,4,Unknown,6,Shelter,0
26,0,15,Schnauzer Miniature,17,Breeder,0
27,0,20,German Short-Haired Pointer,10,Shelter,1
28,1,17,Unknown,7,Shelter,1
29,1,10,Unknown,13,Shelter,0
30,1,3,Unknown,6,Breeder,0
31,0,4,Mutt,20,Shelter,0
32,1,13,Maine Coon,17,Rescue,0
33,1,18,Unknown,12,Breeder,0
34,1,1,Unknown,8,Shelter,0
35,1,15,Unknown,18,Shelter,0
36,1,3,Unknown,6,Rescue,0
37,1,10,Cornish Rex,10,Breeder,0
38,1,13,Maine Coon,13,Shelter,0
39,0,1,Mutt,9,Breeder,0
40,1,4,Unknown,5,Rescue,0
41,0,3,Hungarian Vizsla,5,Rescue,0
42,0,17,Mutt,18,Rescue,0
43,0,20,Mutt,20,Breeder,0
44,1,3,Abyssinian,8,Shelter,0
45,1,9,Unknown,16,Rescue,0
46,0,20,Cairn Terrier,17,Breeder,0
47,1,1,Russian Blue,12,Shelter,0
48,0,9,Briard,17,Rescue,0
49,0,5,Sussex Spaniel,21,Rescue,0
50,1,19,Unknown,13,Breeder,0
51,0,17,Mutt,7,Rescue,0
52,0,7,Ibizan Hound,22,Breeder,0
53,0,3,Mutt,11,Shelter,0
54,0,12,Portuguese Water Dog,25,Rescue,0
55,0,17,Mutt,22,Rescue,0
56,1,15,Cornish Rex,5,Breeder,0
57,1,18,Siamese,15,Shelter,0
58,0,0,Mutt,6,Rescue,0
59,0,5,Chihuahua (Smooth Coat),17,Rescue,0
60,1,8,Cornish Rex,5,Rescue,0
61,1,4,Persian,17,Breeder,0
62,1,2,Turkish Van,13,Shelter,0
63,0,14,Mutt,12,Shelter,0
64,0,10,Manchester Terrier,11,Rescue,0
65,1,8,Siamese,17,Shelter,0
66,0,10,Mutt,19,Rescue,0
67,1,2,Russian Blue,16,Breeder,0
68,0,0,Mutt,6,Breeder,0
69,1,3,Unknown,5,Shelter,0
70,0,17,Mutt,15,Breeder,0
71,0,8,Mutt,19,Breeder,0
72,1,5,Turkish Angora,11,Rescue,0
73,0,10,Mutt,23,Breeder,0
74,1,11,Siamese,18,Breeder,0
75,0,17,Mutt,9,Breeder,0
76,1,16,Unknown,5,Rescue,0
77,0,12,Hungarian Wire-Haired Vizsla,18,Shelter,0
78,0,0,Tenterfield Terrier,7,Shelter,0
79,1,12,Scottish Fold,7,Breeder,0
80,0,19,Welsh Corgi (Pembroke),20,Breeder,0
81,1,13,Unknown,16,Breeder,0
82,1,1,Unknown,12,Shelter,0
83,1,10,Scottish Fold,7,Breeder,0
84,1,5,Burmese,6,Shelter,0
